id,name,description,interest_type_id
36,Sou a favor do aborto em casos específicos ou especiais.,,8
37,Os casais de homossexuais devem ter os mesmos direitos à adoção que os casais heterossexuais.,,8
38,Sou a favor da pena de morte.,,8
43,O Brasil deveria aumentar suas despesas militares.,,14
44,Eu apoio o uso de energia nuclear.,,14
46,Os prisioneiros não violentos deveriam ser soltos da prisão para reduzir a superlotação.,,15
47,"A idade legal deveria diminuir, já que muitos menores cometem crimes graves.",,15
49,O governo deveria efetuar cortes na despesa pública para reduzir a dívida nacional.,,16
50,O governo deveria diminuir os impostos das empresas.,,16
51,O Brasil deveria aumentar os impostos para os ricos.,,16
52,Apoio o uso de culturas e alimentos geneticamente modificados.,,17
53,"Os produtos descartáveis (como copos, pratos e talheres de plástico) que contenham menos de 50% de material biodegradável deveriam ser proibidos.",,17
54,O governo deveria aumentar os gastos com os transportes públicos.,,16
55,A maioria das pessoas é honesta por natureza.,,18
59,A maioria das pessoas nunca furtou em lojas quando adolescentes.,,18
62,É da natureza humana roubar dos outros.,,18
63,A maioria das pessoas não é confiável.,,18
65,Quase nunca fico com raiva no meu dia.,,19
66,Pessoas que me conhecem não diriam que eu tenho um temperamento fácil.,,19
69,"Às vezes, meus colegas de trabalho/faculdade me irritam.",,19
70,É normal perder a paciência ocasionalmente.,,19
75,Nunca sofri sintomas físicos devido a estresse.,,20
76,A faculdade é a coisa mais estressante da minha vida.,,20
77,"Às vezes, não me sinto capaz de lidar com todas as minhas responsabilidades.",,20
88,Normalmente sou descrito como uma pessoa extrovertida.,,22
25,É relativamente fácil para mim me aproximar emocionalmente de outras pessoas.,,4
26,Eu me sinto confortável dependendo de outras pessoas e tendo outras pessoas dependendo de mim.,,4
56,A maioria das pessoas pode ser confiável.,,18
67,Não consigo me lembrar da última vez que perdi a cabeça.,,19
74,Eu tenho um relacionamento positivo com as pessoas que preciso lidar diariamente.,,20
27,Eu não me preocupo em estar sozinho ou de outros não me aceitarem.,,4
30,Eu me sinto confortável sem relacionamentos emocionais próximos.,,4
31,É importante para mim sentir-me independente e autossuficiente.,,4
32,Eu prefiro não depender dos outros ou que os outros dependam de mim.,,4
33,Sinto-me um tanto desconfortável em me aproximar de outras pessoas.,,4
35,"Às vezes, me preocupo em me machucar se eu me permitir ficar muito próximo de outras pessoas.",,4
34,"Eu gosto de amizades emocionalmente próximas, mas acho difícil confiar completamente nos outros ou depender deles.",,4
42,Acredito que o alistamento militar não deveria ser obrigatório.,,14
48,Sou a favor da descriminalização das drogas.,,15
79,Eu às vezes perco o sono me preocupando com coisas do dia-a-dia.,,20
89,É fácil para as pessoas verem meu humor.,,22
91,Acho fácil manter uma conversa.,,22
93,Normalmente sou quieto e reservado em reuniões sociais.,,22
95,Eu não gosto de conversar com estranhos.,,22
97,Eu evito ser o centro das atenções sempre que possível.,,22
98,Às vezes tento evitar conhecer novas pessoas.,,22
105,Católica,,24
106,Evangélica,,24
107,Espírita,,24
108,Ateu,,24
109,Judáica,,24
110,Sem Religião,,24
112,Candomblé,,24
113,Outra,,24
114,Ação,,25
115,Aventura,,25
116,Comédia,,25
117,Documentário,,25
118,Drama,,25
119,Fantasia,,25
120,Ficção científica,,25
121,Musical,,25
122,Suspense,,25
123,Outro,,25
124,Axé,,26
125,Música Eletrônica,,26
126,Forró,,26
127,Funk,,26
128,Gospel,,26
130,Jazz,,26
131,MPB,,26
132,Música Clássica,,26
133,Pagode,,26
134,Pop,,26
135,Reggae,,26
136,Rock,,26
137,Samba,,26
138,Sertanejo,,26
139,Outro,,26
140,Shopping,,27
141,Cinema,,27
142,Praia,,27
143,Festa,,27
144,Parque,,27
145,Praticar esportes,,27
146,Vídeo Game,,27
147,Séries e Filmes em casa,,27
148,Passar tempo com a família,,27
149,Conversar com os amigos,,27
150,Dançar,,27
151,Cantar,,27
152,Redes Sociais,,27
153,Outro,,27
111,Umbanda,,24
129,Hip Hop,,26
154,Terror,,25
155,"Concordo com uso de agrotóxicos, já que é a única forma de suprir as necessidades alimentares da humanidade",,17
156,Agrotóxicos deveriam ser proibidos,,17
157,Ninguém deveria ser bilionário enquanto existirem pessoas passando fome,,8
158,A polícia militar deveria ser desmilitarizada.,,14
159,Deveria existir prisão perpétua no Brasil.,,15
